P M PRE,POST
1 0   19 18 ,
2 11 , 19 1
3 0   12 11 9 8 , 18 19
5 0   5 3 , 5 4
6 1   4 27 45 33 39 51 57 63 , 3 15 31 38 44 50 56 62
7 0   64 66 , 14 13 10 6
8 0   19 1 , 12 11 7 2
9 1   23 28 31 34 38 41 44 10 46 6 3 15 50 53 56 59 62 65 , 17 16 4 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66
10 0  13 6 , 11 8
11 0  14 10 , 12 9
12 1  11 8 , 13 6
13 1  12 9 , 14 10
14 1  18 7 2 , 9 8 1
15 1  16 8 , 6 2
16 1  17 9 , 10 7
17 0  5 4 , 23 25
18 0  11 2 , 16 13
19 0  24 25 , 15 26
20 0  12 7 , 17 14
21 1  16 13 , 11 2
22 1  17 14 , 12 7
23 0  17 16 14 13 , 5 3
26 1  24 30 36 42 48 54 60 66 , 23 28 34 41 46 53 59 65
27 0  23 25 , 24 25
28 0  15 26 , 26 27
29 0  27 26 , 28 29
30 0  28 29 , 30 29
31 0  30 29 , 31 32
32 0  31 32 , 32 33
33 0  33 32 , 34 35
34 0  34 35 , 36 35
35 0  35 36 , 37 38
36 0  37 38 , 39 37
37 0  37 39 , 40 41
38 0  40 41 , 40 42
39 0  40 42 , 43 44
40 0  43 44 , 43 45
41 0  43 45 , 46 47
42 0  46 47 , 47 48
43 0  47 48 , 49 50
44 0  49 50 , 49 51
45 0  49 51 , 52 53
46 0  52 53 , 52 54
47 0  52 54 , 55 56
48 0  55 56 , 55 57
49 0  55 57 , 58 59
50 0  58 59 , 58 60
51 0  58 60 , 61 62
52 0  61 62 , 61 63
53 0  61 63 , 64 65
54 0  64 65 , 64 66
@

ptime:3-15 5-1440 7-25 8-15 9-25 10-120 11-120 12-270 13-270 14-15 17-25 18-270  19-25 20-270 21-120 22-120 23-25 27-2040 28-1440 29-25 30-2040 31-25 32-1440 33-25 34-2040 35-25 36-1440 37-25 38-2040 39-25 40-1440 41-25 42-2040 43-25 45-25 47-25 49-25 51-25 53-25 44-1440 48-1440 52-1440 46-2040 50-2040 54-2040

ttime:1-45 2-45 3-86 4-86 5-175 6-86 7-45 8-45 9-45 10-86 11-100 12-100 13-175 14-175 15-86 16-86 17-86 18-45 19-90 23-86 24-86 25-175 26-175 27-86 28-86 29-175 30-86 31-86 32-175 33-86 34-86 35-175 36-86 37-175 38-86 39-86 40-175 41-86 42-86 43-175 44-86 45-86 46-86 47-175 48-86 51-86 54-86 57-86 60-86 63-86 66-86 50-86 53-86 56-86 59-86 62-86 65-86 49-175 52-175 55-175 58-175 61-175 64-175

goalPlace:1-11

residenceTime: 5-1000 27-1000 28-1000 30-1000 32-1000 34-1000 36-1000 38-1000 40-1000 42-1000 44-1000 48-1000 52-1000 46-1000 50-1000 54-1000 17-600 19-600 29-600 31-600 33-600 35-600 37-600 39-600 41-600 43-600 45-600 47-600 49-600 51-600 53-600 
